// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B4381A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
39807,NaN,-3.231501,6.308337,7.522194,0.210954,-1.098673,0.462013,-0.323714,0.338644,0.155982,0.899691,0.348895,0.217334,0.146951,46.252346,16.769731,25.756995
39808,NaN,-3.069403,5.978093,7.076801,0.178653,-0.991300,-0.105716,-0.290301,0.376496,0.101731,0.899701,0.347468,0.218649,0.148312,46.150584,16.880105,25.955826
39809,NaN,-3.167749,5.944488,6.633450,-0.108213,-0.786699,-0.392306,-0.253564,0.388803,0.105271,0.899629,0.346195,0.220037,0.149670,46.071565,16.994101,26.161162
39810,NaN,-3.311298,5.900965,6.240969,-0.408993,-0.641919,-0.639007,-0.253797,0.371862,0.110904,0.899565,0.344941,0.221340,0.151023,45.991888,17.099435,26.361694
39811,NaN,-3.353689,5.825352,5.930925,-0.581424,-0.525023,-0.882733,-0.277093,0.340008,0.097081,0.899584,0.343586,0.222502,0.152284,45.892872,17.197940,26.542471
39812,NaN,-3.387034,5.958168,5.512851,-0.829603,-0.195823,-1.058450,-0.286131,0.296797,0.071843,0.899680,0.342197,0.223509,0.153366,45.780837,17.290064,26.694220
39813,NaN,-3.273263,6.013545,5.246613,-0.871700,0.057361,-1.231270,-0.310599,0.217909,0.063880,0.899911,0.340744,0.224151,0.154305,45.643311,17.354030,26.808379
39814,NaN,-3.385447,5.919526,5.375562,-0.890338,-0.110772,-1.175922,-0.259270,0.165871,0.044868,0.900122,0.339544,0.224634,0.155011,45.526783,17.405387,26.892363
39815,NaN,-3.329571,6.366929,5.496938,-0.838282,0.182115,-0.806896,-0.119335,0.080231,0.041923,0.900196,0.339033,0.224842,0.155402,45.478548,17.423437,26.938124
39816,NaN,-3.129313,6.666849,6.088715,-0.406112,0.170967,-0.267124,-0.099943,0.061692,0.071485,0.900232,0.338661,0.224935,0.155872,45.443375,17.422285,26.988660
39817,NaN,-3.254560,6.519228,6.344584,-0.365803,-0.125129,-0.158840,-0.065884,0.052996,0.085581,0.900211,0.338460,0.224988,0.156352,45.427779,17.411615,27.041143
39818,NaN,-3.227129,6.657110,6.613455,-0.225343,-0.160957,0.106616,0.011650,0.010541,0.084140,0.900105,0.338644,0.224916,0.156667,45.451585,17.384774,27.075132
