// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B43876
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
32929,NaN,-9.518390,0.647932,-1.031343,0.228268,-0.077845,-0.219719,-0.036181,-0.013700,0.176729,-0.645577,-0.197688,-0.725914,0.131142,153.846434,81.539519,126.880929
32930,NaN,-9.784943,0.608291,-1.010644,0.241342,-0.168418,0.038703,-0.044013,-0.030512,0.174340,-0.645867,-0.198188,-0.725646,0.130439,153.136221,81.511473,126.187078
32931,NaN,-9.900485,0.573876,-1.102938,0.140700,-0.185408,0.162843,-0.039538,-0.067016,0.170855,-0.646286,-0.198672,-0.725257,0.129794,152.373311,81.501428,125.437477
32932,NaN,-9.893939,0.559659,-1.190133,0.040594,-0.169957,0.166746,-0.028537,-0.097970,0.159943,-0.646795,-0.199126,-0.724774,0.129261,151.606026,81.508709,124.676918
32933,NaN,-9.844446,0.601027,-1.247215,-0.012344,-0.110963,0.128007,-0.020711,-0.111385,0.138272,-0.647333,-0.199523,-0.724260,0.128834,150.882724,81.527041,123.956475
32934,NaN,-9.783899,0.633398,-1.350872,-0.110724,-0.035255,0.083635,-0.021300,-0.110038,0.111747,-0.647847,-0.199817,-0.723779,0.128495,150.254376,81.551125,123.332257
32935,NaN,-9.673239,0.676335,-1.369703,-0.130791,0.019946,-0.020468,-0.021144,-0.085841,0.084823,-0.648258,-0.200035,-0.723401,0.128214,149.752851,81.569791,122.836347
32936,NaN,-9.545847,0.734677,-1.390122,-0.142540,0.092602,-0.139710,-0.034815,-0.049536,0.060592,-0.648532,-0.200140,-0.723176,0.127931,149.400586,81.577231,122.499108
32937,NaN,-9.573496,0.707108,-1.490836,-0.247762,0.105722,-0.101773,-0.043078,-0.000524,0.033548,-0.648624,-0.200156,-0.723139,0.127651,149.223311,81.567961,122.343705
32938,NaN,-9.606933,0.736014,-1.428360,-0.176997,0.095561,-0.074380,-0.048619,0.045955,0.015228,-0.648537,-0.200113,-0.723278,0.127370,149.202580,81.541389,122.349614
32939,NaN,-9.750277,0.668766,-1.408881,-0.175074,0.004713,0.059973,-0.048803,0.087146,0.002772,-0.648297,-0.200055,-0.723560,0.127082,149.297088,81.497921,122.472290
32940,NaN,-9.865339,0.605876,-1.361298,-0.145232,-0.092069,0.163061,-0.052699,0.106911,0.003486,-0.647987,-0.199994,-0.723910,0.126763,149.430772,81.444724,122.636706
32941,NaN,-9.948701,0.653715,-1.398608,-0.141746,-0.049598,0.253967,-0.048480,0.111790,-0.000939,-0.647655,-0.199940,-0.724275,0.126463,149.582476,81.390083,122.817070
32942,NaN,-9.751592,0.666972,-1.337701,-0.089444,-0.044777,0.052292,-0.047549,0.096254,-0.015373,-0.647366,-0.199821,-0.724606,0.126234,149.756407,81.347485,123.019254
32943,NaN,-9.276995,0.794664,-1.348623,-0.073639,0.131677,-0.405768,-0.031775,0.058015,-0.045442,-0.647183,-0.199625,-0.724831,0.126193,149.957179,81.332129,123.239606
32944,NaN,-9.135176,0.744722,-1.566738,-0.295235,0.203738,-0.521184,0.002119,0.055598,-0.080180,-0.646950,-0.199406,-0.725063,0.126394,150.291493,81.327985,123.575261
32945,NaN,-9.434963,0.880007,-1.612897,-0.242493,0.313289,-0.208657,0.028564,0.032677,-0.130490,-0.646745,-0.199081,-0.725253,0.126872,150.757273,81.348833,124.028706
32946,NaN,-9.162935,0.681729,-1.600537,-0.335909,0.176587,-0.493792,0.045329,0.025510,-0.162613,-0.646526,-0.198684,-0.725442,0.127527,151.334434,81.381826,124.584919
32947,NaN,-9.298383,0.697542,-1.717693,-0.410854,0.239460,-0.343222,0.086473,0.041865,-0.196534,-0.646186,-0.198312,-0.725689,0.128418,152.076172,81.414522,125.283831
32948,NaN,-9.519952,0.728797,-1.554259,-0.220520,0.185504,-0.143495,0.098613,0.016615,-0.233858,-0.645900,-0.197822,-0.725885,0.129505,152.919176,81.468760,126.077895
32949,NaN,-9.335332,0.615973,-1.344936,-0.091351,0.036512,-0.361394,0.104961,-0.019584,-0.271759,-0.645714,-0.197197,-0.725994,0.130767,153.839322,81.549137,126.946273
