// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B43876
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U
02497,NaN,6.094979,-7.138996,-0.742134,0.586721,-0.411248,-0.423878,-0.176075,-0.216381,-1.500352,-0.440428,0.730539,-0.150623,0.499649,-98.081776,-36.680224,-55.406338,NaN,NaN,NaN,NaN,NaN,NaN
02498,NaN,5.592128,-7.312212,-0.794463,0.224985,0.123161,-0.576662,-0.125917,-0.120544,-1.479882,-0.436379,0.732213,-0.145262,0.502331,-98.296940,-37.506238,-55.166112,NaN,NaN,NaN,NaN,NaN,NaN
02499,NaN,5.211639,-7.404176,-0.556623,0.179267,0.662314,-0.767215,-0.058861,-0.006046,-1.463555,-0.432509,0.733403,-0.140037,0.505416,-98.428644,-38.331674,-55.004002,NaN,NaN,NaN,NaN,NaN,NaN
02500,NaN,4.819383,-7.610167,-0.085290,0.296045,1.380400,-0.915845,-0.005715,0.091368,-1.447175,-0.428785,0.734181,-0.134939,0.508836,-98.488319,-39.156094,-54.910887,NaN,NaN,NaN,NaN,NaN,NaN
02501,NaN,4.420600,-7.725664,0.092610,0.173832,1.894902,-1.117058,0.041025,0.159013,-1.414203,-0.425248,0.734627,-0.129983,0.512437,-98.489597,-39.967239,-54.869387,NaN,NaN,NaN,NaN,NaN,NaN
02502,NaN,4.464020,-7.750854,0.470885,0.439544,2.166678,-1.133057,0.113307,0.175030,-1.371112,-0.422057,0.734814,-0.125027,0.516029,-98.438788,-40.755553,-54.844671,NaN,NaN,NaN,NaN,NaN,NaN
02503,NaN,4.566954,-8.427311,0.739128,0.469201,2.740015,-0.609756,0.159617,0.181269,-1.230356,-0.419376,0.734768,-0.120477,0.519351,-98.347997,-41.464404,-54.841154,NaN,NaN,NaN,NaN,NaN,NaN
02504,NaN,1.242819,-11.040518,0.053918,-2.306102,6.135376,-0.841707,0.172491,0.005713,-1.024859,-0.417369,0.735001,-0.116276,0.521590,-98.322418,-42.042335,-54.728268,NaN,NaN,NaN,NaN,NaN,NaN
02505,NaN,1.974582,-11.519436,0.101974,-2.155587,6.079883,-0.066202,0.340103,-0.071129,-1.011230,-0.416045,0.735059,-0.111525,0.523600,-98.240916,-42.606119,-54.557457,NaN,NaN,NaN,NaN,NaN,NaN
02506,NaN,2.897587,-11.493639,0.117878,-1.828669,5.576449,0.486427,0.417362,-0.126601,-0.866945,-0.415406,0.734999,-0.106985,0.525137,-98.134142,-43.083673,-54.360019,NaN,NaN,NaN,NaN,NaN,NaN
02507,NaN,1.652964,-12.363661,-0.421764,-3.148747,6.633964,0.279166,0.447838,-0.198379,-0.608984,-0.415584,0.734915,-0.103161,0.525878,-98.030260,-43.409463,-54.134724,NaN,NaN,NaN,NaN,NaN,NaN
02508,NaN,1.303814,-13.027466,-0.850111,-3.928821,7.053805,0.528745,0.480582,-0.267293,-0.357107,-0.416578,0.734801,-0.100034,0.525854,-97.925909,-43.586824,-53.883566,NaN,NaN,NaN,NaN,NaN,NaN
02509,NaN,1.794439,-12.894150,-0.963916,-3.841969,6.608415,0.769185,0.529396,-0.258301,-0.109791,-0.418390,0.734434,-0.097703,0.525367,-97.771176,-43.625254,-53.665734,NaN,NaN,NaN,NaN,NaN,NaN
02510,NaN,4.357071,-12.170513,-1.180456,-2.758293,4.516830,2.040110,0.430905,-0.215526,0.038028,-0.420209,0.734080,-0.096267,0.524675,-97.638169,-43.582814,-53.497962,NaN,NaN,NaN,NaN,NaN,NaN
