// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B4381A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U
10820,NaN,3.228473,8.818082,-0.059090,-0.878183,-0.448006,-0.473889,0.181369,0.028315,-0.043680,0.158040,-0.018499,-0.699248,-0.696945,88.733495,-14.288448,-168.426456,NaN,NaN,NaN,NaN,NaN,NaN
10821,NaN,2.896903,8.913055,-0.004809,-0.561176,-0.313407,-0.462743,0.220213,0.170945,-0.098486,0.158268,-0.017353,-0.699934,-0.696234,88.842498,-14.224223,-168.328916,NaN,NaN,NaN,NaN,NaN,NaN
10822,NaN,2.748483,8.994433,-0.154198,-0.385354,-0.415867,-0.423529,0.229027,0.267212,-0.138211,0.158697,-0.015728,-0.700572,-0.695533,88.942150,-14.136694,-168.174758,NaN,NaN,NaN,NaN,NaN,NaN
10823,NaN,2.683604,9.067704,-0.179114,-0.317476,-0.414391,-0.368932,0.235450,0.353636,-0.151941,0.159379,-0.013747,-0.701166,-0.694821,89.033991,-14.040328,-167.969713,NaN,NaN,NaN,NaN,NaN,NaN
10824,NaN,2.558665,9.145755,0.019830,-0.237771,-0.181762,-0.320460,0.247826,0.398706,-0.143600,0.160250,-0.011631,-0.701758,-0.694061,89.126145,-13.949042,-167.737811,NaN,NaN,NaN,NaN,NaN,NaN
10825,NaN,2.327208,9.314765,0.255390,-0.044449,0.113871,-0.208990,0.256074,0.389381,-0.129357,0.161135,-0.009588,-0.702385,-0.693253,89.225275,-13.865972,-167.511315,NaN,NaN,NaN,NaN,NaN,NaN
10826,NaN,2.161073,9.510733,0.544272,0.080542,0.452710,-0.055175,0.265839,0.333134,-0.107076,0.161902,-0.007814,-0.703082,-0.692389,89.337540,-13.796884,-167.317666,NaN,NaN,NaN,NaN,NaN,NaN
10827,NaN,2.033679,9.676954,0.707441,0.189015,0.663024,0.076923,0.253522,0.239954,-0.072301,0.162458,-0.006491,-0.703812,-0.691530,89.456579,-13.748253,-167.178763,NaN,NaN,NaN,NaN,NaN,NaN
10828,NaN,1.947294,9.780051,0.969875,0.225220,0.960622,0.157691,0.221225,0.112295,-0.027914,0.162719,-0.005794,-0.704527,-0.690747,89.574313,-13.726317,-167.114750,NaN,NaN,NaN,NaN,NaN,NaN
10829,NaN,1.842612,9.846512,1.142336,0.294895,1.173013,0.196859,0.166981,-0.036645,0.013458,0.162594,-0.005800,-0.705177,-0.690112,89.682467,-13.728395,-167.138482,NaN,NaN,NaN,NaN,NaN,NaN
10830,NaN,1.838128,9.878570,1.266970,0.278547,1.314627,0.225451,0.119300,-0.183491,0.055385,0.162096,-0.006501,-0.705775,-0.689611,89.783038,-13.755142,-167.248596,NaN,NaN,NaN,NaN,NaN,NaN
10831,NaN,2.026031,9.884086,1.296491,0.101060,1.320745,0.273255,0.072470,-0.319764,0.094725,0.161250,-0.007846,-0.706325,-0.689233,89.876814,-13.804183,-167.439219,NaN,NaN,NaN,NaN,NaN,NaN
